point_id,algorithm,num_observations,num_breaks,break_dates,time_span_years,status
1412592,S-CCD,267,0,,36.290212183436005,no_breaks_detected
1412593,S-CCD,260,-1,,0.0,error: S-CCD function fails for pos = 1 
1412594,S-CCD,257,0,,36.290212183436005,no_breaks_detected
1412596,S-CCD,294,0,,36.421629021218344,no_breaks_detected
1412597,S-CCD,246,-1,,0.0,error: S-CCD function fails for pos = 1 
1412599,S-CCD,262,-1,,0.0,error: S-CCD function fails for pos = 1 
1412602,S-CCD,226,0,,36.18069815195072,no_breaks_detected
1412603,S-CCD,261,0,,36.290212183436005,no_breaks_detected
1412607,S-CCD,260,0,,36.290212183436005,no_breaks_detected
1412611,S-CCD,273,-1,,0.0,error: S-CCD function fails for pos = 1 
1412613,S-CCD,272,0,,36.290212183436005,no_breaks_detected
1412616,S-CCD,256,0,,36.290212183436005,no_breaks_detected
1412618,S-CCD,243,-1,,0.0,error: S-CCD function fails for pos = 1 
1412619,S-CCD,253,0,,36.290212183436005,no_breaks_detected
1412623,S-CCD,255,-1,,0.0,error: S-CCD function fails for pos = 1 
1412625,S-CCD,277,-1,,0.0,error: S-CCD function fails for pos = 1 
1412626,S-CCD,238,0,,36.290212183436005,no_breaks_detected
1412627,S-CCD,264,-1,,0.0,error: S-CCD function fails for pos = 1 
1412629,S-CCD,241,0,,36.290212183436005,no_breaks_detected
1412632,S-CCD,242,-1,,0.0,error: S-CCD function fails for pos = 1 
1412633,S-CCD,245,-1,,0.0,error: S-CCD function fails for pos = 1 
1412634,S-CCD,267,-1,,0.0,error: S-CCD function fails for pos = 1 
1412635,S-CCD,267,0,,36.290212183436005,no_breaks_detected
1412638,S-CCD,238,0,,36.290212183436005,no_breaks_detected
1412639,S-CCD,251,0,,36.18069815195072,no_breaks_detected
1412640,S-CCD,277,0,,36.290212183436005,no_breaks_detected
1412641,S-CCD,247,-1,,0.0,error: S-CCD function fails for pos = 1 
1412642,S-CCD,259,-1,,0.0,error: S-CCD function fails for pos = 1 
1412647,S-CCD,245,-1,,0.0,error: S-CCD function fails for pos = 1 
1412651,S-CCD,236,-1,,0.0,error: S-CCD function fails for pos = 1 
1412656,S-CCD,271,0,,36.50924024640657,no_breaks_detected
1412662,S-CCD,274,-1,,0.0,error: S-CCD function fails for pos = 1 
1412664,S-CCD,233,-1,,0.0,error: S-CCD function fails for pos = 1 
1412665,S-CCD,245,-1,,0.0,error: S-CCD function fails for pos = 1 
1412668,S-CCD,264,0,,36.355920602327174,no_breaks_detected
1412669,S-CCD,236,0,,36.290212183436005,no_breaks_detected
1412670,S-CCD,270,0,,36.18069815195072,no_breaks_detected
1412671,S-CCD,251,0,,36.290212183436005,no_breaks_detected
1412672,S-CCD,267,0,,36.50924024640657,no_breaks_detected
1412673,S-CCD,239,0,,35.85215605749487,no_breaks_detected
1412674,S-CCD,266,0,,36.290212183436005,no_breaks_detected
1412675,S-CCD,229,-1,,0.0,error: S-CCD function fails for pos = 1 
1412676,S-CCD,292,-1,,0.0,error: S-CCD function fails for pos = 1 
1412681,S-CCD,260,-1,,0.0,error: S-CCD function fails for pos = 1 
1412682,S-CCD,241,-1,,0.0,error: S-CCD function fails for pos = 1 
1412683,S-CCD,259,0,,36.355920602327174,no_breaks_detected
1412844,S-CCD,289,0,,36.421629021218344,no_breaks_detected
1412867,S-CCD,233,-1,,0.0,error: S-CCD function fails for pos = 1 
1412871,S-CCD,271,0,,36.421629021218344,no_breaks_detected
1412935,S-CCD,281,0,,36.50924024640657,no_breaks_detected
1413026,S-CCD,299,0,,36.421629021218344,no_breaks_detected
1413089,S-CCD,277,0,,36.421629021218344,no_breaks_detected
1413293,S-CCD,545,0,,36.903490759753595,no_breaks_detected
1413294,S-CCD,530,-1,,0.0,error: S-CCD function fails for pos = 1 
1413295,S-CCD,532,0,,36.40246406570842,no_breaks_detected
1413296,S-CCD,304,0,,36.50924024640657,no_breaks_detected
1413298,S-CCD,271,-1,,0.0,error: S-CCD function fails for pos = 1 
1413307,S-CCD,467,0,,36.59958932238193,no_breaks_detected
1413310,S-CCD,296,-1,,0.0,error: S-CCD function fails for pos = 1 
1413311,S-CCD,358,0,,36.577686516084874,no_breaks_detected
1413312,S-CCD,261,0,,36.290212183436005,no_breaks_detected
1413315,S-CCD,390,-1,,0.0,error: S-CCD function fails for pos = 1 
1413316,S-CCD,333,0,,36.421629021218344,no_breaks_detected
